(MMTM_code) PS C:\黄琬婷\作业2\作业2\作业2\FCN分割算法> python train.py
Setting up a new session...
C:\Users\bb009\anaconda3\envs\MMTM_code\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\bb009\anaconda3\envs\MMTM_code\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Downloading: "https://download.pytorch.org/models/vgg19-dcbb9e9d.pth" to C:\Users\bb009/.cache\torch\hub\checkpoints\vgg19-dcbb9e9d.pth
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████| 548M/548M [00:56<00:00, 10.2MB/s]
epoch train loss = 0.116683, epoch test loss = 0.102289, Time 00:00:34
saveing checkpoints/fcn_model_5.pt
epoch 6, 0/540,train loss is 0.07293087989091873
epoch 6, 15/540,train loss is 0.05805144086480141
epoch 6, 30/540,train loss is 0.050132036209106445
epoch 6, 45/540,train loss is 0.11954076588153839
epoch 6, 60/540,train loss is 0.049018487334251404
epoch 6, 75/540,train loss is 0.030854854732751846
epoch 6, 90/540,train loss is 0.0734085738658905
epoch 6, 105/540,train loss is 0.12593622505664825
epoch 6, 120/540,train loss is 0.1437489092350006
epoch 6, 135/540,train loss is 0.04580322280526161
epoch 6, 150/540,train loss is 0.052251022309064865
epoch 6, 165/540,train loss is 0.14175067842006683
epoch 6, 180/540,train loss is 0.12494541704654694
epoch 6, 195/540,train loss is 0.07975650578737259
epoch 6, 210/540,train loss is 0.04759891331195831
epoch 6, 225/540,train loss is 0.15042348206043243
epoch 6, 240/540,train loss is 0.026043381541967392
epoch 6, 255/540,train loss is 0.11984758079051971
epoch 6, 270/540,train loss is 0.06375225633382797
epoch 6, 285/540,train loss is 0.09137336164712906
epoch 6, 300/540,train loss is 0.09285415709018707
epoch 6, 315/540,train loss is 0.05044785514473915
epoch 6, 330/540,train loss is 0.09368440508842468
epoch 6, 345/540,train loss is 0.1805841475725174
epoch 6, 360/540,train loss is 0.07554898411035538
epoch 6, 375/540,train loss is 0.15175136923789978
epoch 6, 390/540,train loss is 0.07144293934106827
epoch 6, 405/540,train loss is 0.05810720473527908
epoch 6, 420/540,train loss is 0.13470672070980072
epoch 6, 435/540,train loss is 0.11183357238769531
epoch 6, 450/540,train loss is 0.039278075098991394
epoch 6, 465/540,train loss is 0.12317262589931488
epoch 6, 480/540,train loss is 0.04651143029332161
epoch 6, 495/540,train loss is 0.05373341962695122
epoch 6, 510/540,train loss is 0.08033647388219833
epoch 6, 525/540,train loss is 0.08420242369174957
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.099174, epoch test loss = 0.092459, Time 00:00:35
epoch 7, 0/540,train loss is 0.05765077844262123
epoch 7, 15/540,train loss is 0.09194593131542206
epoch 7, 30/540,train loss is 0.06961748003959656
epoch 7, 45/540,train loss is 0.04680198058485985
epoch 7, 60/540,train loss is 0.04543585702776909
epoch 7, 75/540,train loss is 0.07367189228534698
epoch 7, 90/540,train loss is 0.08132560551166534
epoch 7, 105/540,train loss is 0.10010574012994766
epoch 7, 120/540,train loss is 0.10794024914503098
epoch 7, 135/540,train loss is 0.07338396459817886
epoch 7, 150/540,train loss is 0.08982503414154053
epoch 7, 165/540,train loss is 0.09515697509050369
epoch 7, 180/540,train loss is 0.07376505434513092
epoch 7, 195/540,train loss is 0.045027926564216614
epoch 7, 210/540,train loss is 0.0692666620016098
epoch 7, 225/540,train loss is 0.062279097735881805
epoch 7, 240/540,train loss is 0.10682626813650131
epoch 7, 255/540,train loss is 0.11311965435743332
epoch 7, 270/540,train loss is 0.07605306804180145
epoch 7, 285/540,train loss is 0.052263107150793076
epoch 7, 300/540,train loss is 0.08008307963609695
epoch 7, 315/540,train loss is 0.05236680433154106
epoch 7, 330/540,train loss is 0.20487873256206512
epoch 7, 345/540,train loss is 0.06891506165266037
epoch 7, 360/540,train loss is 0.08805208653211594
epoch 7, 375/540,train loss is 0.07615843415260315
epoch 7, 390/540,train loss is 0.08252528309822083
epoch 7, 405/540,train loss is 0.08408890664577484
epoch 7, 420/540,train loss is 0.0504654161632061
epoch 7, 435/540,train loss is 0.16179870069026947
epoch 7, 450/540,train loss is 0.04327475279569626
epoch 7, 465/540,train loss is 0.1012486144900322
epoch 7, 480/540,train loss is 0.05893966555595398
epoch 7, 495/540,train loss is 0.06648264080286026
epoch 7, 510/540,train loss is 0.0783691257238388
epoch 7, 525/540,train loss is 0.04382946342229843
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.086632, epoch test loss = 0.097833, Time 00:00:33
epoch 8, 0/540,train loss is 0.05124489590525627
epoch 8, 15/540,train loss is 0.05875438451766968
epoch 8, 30/540,train loss is 0.050272244960069656
epoch 8, 45/540,train loss is 0.04972240328788757
epoch 8, 60/540,train loss is 0.09952907264232635
epoch 8, 75/540,train loss is 0.03870107978582382
epoch 8, 90/540,train loss is 0.06629317253828049
epoch 8, 105/540,train loss is 0.11557726562023163
epoch 8, 120/540,train loss is 0.03626418858766556
epoch 8, 135/540,train loss is 0.05066351592540741
epoch 8, 150/540,train loss is 0.045941103249788284
epoch 8, 165/540,train loss is 0.039770420640707016
epoch 8, 180/540,train loss is 0.07455069571733475
epoch 8, 195/540,train loss is 0.045083608478307724
epoch 8, 210/540,train loss is 0.22491811215877533
epoch 8, 225/540,train loss is 0.26645052433013916
epoch 8, 240/540,train loss is 0.10140811651945114
epoch 8, 255/540,train loss is 0.04881591349840164
epoch 8, 270/540,train loss is 0.06382066756486893
epoch 8, 285/540,train loss is 0.04754504933953285
epoch 8, 300/540,train loss is 0.05638231337070465
epoch 8, 315/540,train loss is 0.13171061873435974
epoch 8, 330/540,train loss is 0.03801972419023514
epoch 8, 345/540,train loss is 0.04950401186943054
epoch 8, 360/540,train loss is 0.0352574922144413
epoch 8, 375/540,train loss is 0.07765865325927734
epoch 8, 390/540,train loss is 0.08773933351039886
epoch 8, 405/540,train loss is 0.07874862104654312
epoch 8, 420/540,train loss is 0.0798187106847763
epoch 8, 435/540,train loss is 0.07713611423969269
epoch 8, 450/540,train loss is 0.03724499046802521
epoch 8, 465/540,train loss is 0.02420683391392231
epoch 8, 480/540,train loss is 0.028765391558408737
epoch 8, 495/540,train loss is 0.06367677450180054
epoch 8, 510/540,train loss is 0.05869169905781746
epoch 8, 525/540,train loss is 0.09398642927408218
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.077431, epoch test loss = 0.092673, Time 00:00:34
epoch 9, 0/540,train loss is 0.052987851202487946
epoch 9, 15/540,train loss is 0.06128646060824394
epoch 9, 30/540,train loss is 0.2251901626586914
epoch 9, 45/540,train loss is 0.08599189668893814
epoch 9, 60/540,train loss is 0.04320734739303589
epoch 9, 75/540,train loss is 0.07591833174228668
epoch 9, 90/540,train loss is 0.08387341350317001
epoch 9, 105/540,train loss is 0.047559190541505814
epoch 9, 120/540,train loss is 0.06398467719554901
epoch 9, 135/540,train loss is 0.05736805871129036
epoch 9, 150/540,train loss is 0.035879623144865036
epoch 9, 165/540,train loss is 0.04836377874016762
epoch 9, 180/540,train loss is 0.05531078204512596
epoch 9, 195/540,train loss is 0.032379698008298874
epoch 9, 210/540,train loss is 0.0961206927895546
epoch 9, 225/540,train loss is 0.028817176818847656
epoch 9, 240/540,train loss is 0.09524758160114288
epoch 9, 255/540,train loss is 0.07781556993722916
epoch 9, 270/540,train loss is 0.04650089517235756
epoch 9, 285/540,train loss is 0.03670978546142578
epoch 9, 300/540,train loss is 0.03867461904883385
epoch 9, 315/540,train loss is 0.04120099917054176
epoch 9, 330/540,train loss is 0.08413515239953995
epoch 9, 345/540,train loss is 0.0815940648317337
epoch 9, 360/540,train loss is 0.09261701256036758
epoch 9, 375/540,train loss is 0.04478002339601517
epoch 9, 390/540,train loss is 0.03415149077773094
epoch 9, 405/540,train loss is 0.18045705556869507
epoch 9, 420/540,train loss is 0.039316125214099884
epoch 9, 435/540,train loss is 0.082761749625206
epoch 9, 450/540,train loss is 0.036097586154937744
epoch 9, 465/540,train loss is 0.04340045526623726
epoch 9, 480/540,train loss is 0.15757399797439575
epoch 9, 495/540,train loss is 0.03496415168046951
epoch 9, 510/540,train loss is 0.045528437942266464
epoch 9, 525/540,train loss is 0.05547603592276573
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.072984, epoch test loss = 0.091426, Time 00:00:33
epoch 10, 0/540,train loss is 0.03377571329474449
epoch 10, 15/540,train loss is 0.032047856599092484
epoch 10, 30/540,train loss is 0.13957644999027252
epoch 10, 45/540,train loss is 0.04799405112862587
epoch 10, 60/540,train loss is 0.02821693755686283
epoch 10, 75/540,train loss is 0.09070167690515518
epoch 10, 90/540,train loss is 0.06614473462104797
epoch 10, 105/540,train loss is 0.0498097687959671
epoch 10, 120/540,train loss is 0.0434938408434391
epoch 10, 135/540,train loss is 0.04096537083387375
epoch 10, 150/540,train loss is 0.05188070237636566
epoch 10, 165/540,train loss is 0.07674828916788101
epoch 10, 180/540,train loss is 0.04133792966604233
epoch 10, 195/540,train loss is 0.04971839860081673
epoch 10, 210/540,train loss is 0.044557712972164154
epoch 10, 225/540,train loss is 0.04752108454704285
epoch 10, 240/540,train loss is 0.08221319317817688
epoch 10, 255/540,train loss is 2.1892507076263428
epoch 10, 270/540,train loss is 0.037634871900081635
epoch 10, 285/540,train loss is 0.06361370533704758
epoch 10, 300/540,train loss is 0.09467914700508118
epoch 10, 315/540,train loss is 0.057143811136484146
epoch 10, 330/540,train loss is 0.1183118000626564
epoch 10, 345/540,train loss is 0.06567949801683426
epoch 10, 360/540,train loss is 0.07899687439203262
epoch 10, 375/540,train loss is 0.03939962759613991
epoch 10, 390/540,train loss is 0.029300659894943237
epoch 10, 405/540,train loss is 0.03867587819695473
epoch 10, 420/540,train loss is 0.0741412490606308
epoch 10, 435/540,train loss is 0.024125361815094948
epoch 10, 450/540,train loss is 0.06951531022787094
epoch 10, 465/540,train loss is 0.07405473291873932
epoch 10, 480/540,train loss is 0.07333285361528397
epoch 10, 495/540,train loss is 0.05336421728134155
epoch 10, 510/540,train loss is 0.03466198965907097
epoch 10, 525/540,train loss is 0.0522921085357666
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.066114, epoch test loss = 0.087909, Time 00:00:34
saveing checkpoints/fcn_model_10.pt
epoch 11, 0/540,train loss is 0.05894957110285759
epoch 11, 15/540,train loss is 0.034071825444698334
epoch 11, 30/540,train loss is 0.05127648264169693
epoch 11, 45/540,train loss is 0.040139418095350266
epoch 11, 60/540,train loss is 0.05549215152859688
epoch 11, 75/540,train loss is 0.03946654871106148
epoch 11, 90/540,train loss is 0.07011973857879639
epoch 11, 105/540,train loss is 0.053057849407196045
epoch 11, 120/540,train loss is 0.04151194170117378
epoch 11, 135/540,train loss is 0.031182527542114258
epoch 11, 150/540,train loss is 0.03868018090724945
epoch 11, 165/540,train loss is 0.11991000920534134
epoch 11, 180/540,train loss is 0.049518946558237076
epoch 11, 195/540,train loss is 0.061206188052892685
epoch 11, 210/540,train loss is 0.039125967770814896
epoch 11, 225/540,train loss is 0.03734433650970459
epoch 11, 240/540,train loss is 0.06842026114463806
epoch 11, 255/540,train loss is 0.051717307418584824
epoch 11, 270/540,train loss is 0.059130873531103134
epoch 11, 285/540,train loss is 0.04514613002538681
epoch 11, 300/540,train loss is 0.0501142255961895
epoch 11, 315/540,train loss is 0.05824527516961098
epoch 11, 330/540,train loss is 0.040881503373384476
epoch 11, 345/540,train loss is 0.038664810359478
epoch 11, 360/540,train loss is 0.0362238846719265
epoch 11, 375/540,train loss is 0.022371748462319374
epoch 11, 390/540,train loss is 0.04599091410636902
epoch 11, 405/540,train loss is 0.03552671894431114
epoch 11, 420/540,train loss is 0.09063386917114258
epoch 11, 435/540,train loss is 0.07193996012210846
epoch 11, 450/540,train loss is 0.06934262067079544
epoch 11, 465/540,train loss is 0.025767182931303978
epoch 11, 480/540,train loss is 0.033542755991220474
epoch 11, 495/540,train loss is 0.0491282157599926
epoch 11, 510/540,train loss is 0.02391781099140644
epoch 11, 525/540,train loss is 0.04361337423324585
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.060609, epoch test loss = 0.097540, Time 00:00:35
epoch 12, 0/540,train loss is 0.051040880382061005
epoch 12, 15/540,train loss is 0.03958076983690262
epoch 12, 30/540,train loss is 0.039044592529535294
epoch 12, 45/540,train loss is 0.12308840453624725
epoch 12, 60/540,train loss is 0.01746799238026142
epoch 12, 75/540,train loss is 0.039340224117040634
epoch 12, 90/540,train loss is 0.02691684477031231
epoch 12, 105/540,train loss is 0.10792470723390579
epoch 12, 120/540,train loss is 0.03507479652762413
epoch 12, 135/540,train loss is 0.03372102603316307
epoch 12, 150/540,train loss is 0.04706161841750145
epoch 12, 165/540,train loss is 0.42748335003852844
epoch 12, 180/540,train loss is 0.26221248507499695
epoch 12, 195/540,train loss is 0.059305768460035324
epoch 12, 210/540,train loss is 0.04767604544758797
epoch 12, 225/540,train loss is 0.06153092160820961
epoch 12, 240/540,train loss is 0.06975052505731583
epoch 12, 255/540,train loss is 0.02893735282123089
epoch 12, 270/540,train loss is 0.05938851088285446
epoch 12, 285/540,train loss is 0.03072202578186989
epoch 12, 300/540,train loss is 0.061728451400995255
epoch 12, 315/540,train loss is 0.058434952050447464
epoch 12, 330/540,train loss is 0.03382203355431557
epoch 12, 345/540,train loss is 0.026533348485827446
epoch 12, 360/540,train loss is 0.0525539256632328
epoch 12, 375/540,train loss is 0.07295513898134232
epoch 12, 390/540,train loss is 0.04232921451330185
epoch 12, 405/540,train loss is 0.08397579938173294
